Date,season,interest_rate,permit_count_total,permit_count_house,permit_hh,population,household,hp,Sentiment
2007-07-01,67,2.010666666666667,152,104,3551,2626980.6666666665,944990,165.66,0.020522046362602357
2007-10-01,68,2.043333333333333,166,103,4011,2627633.3333333335,947466.6666666666,164.87,0.021360604572101594
2008-01-01,69,2.0846666666666667,121,80,2398,2630753.3333333335,948024,176.3,0.028743750981600497
2008-04-01,70,2.103666666666667,126,80,2249,2630557.3333333335,950561.6666666666,179.91,0.028048565463691437
2008-07-01,71,2.1386666666666665,141,92,2702,2625915.3333333335,955337.6666666666,173.6,0.004663229675907896
2008-10-01,72,1.4026666666666667,158,90,1972,2622529,958367.3333333334,163.46,-0.0024900742019854883
2009-01-01,73,0.171,147,73,1282,2620761,958762.6666666666,164.68,0.001892923198653571
2009-04-01,74,0.10833333333333334,107,60,1371,2617520.6666666665,961610.3333333334,177.92,0.017345535610127014
2009-07-01,75,0.10033333333333334,103,61,1820,2612162,966188.3333333334,190.25,0.01947607990396476
2009-10-01,76,0.10366666666666667,132,79,1829,2607831,969098.3333333334,201.97,0.019701973198859534
2010-01-01,77,0.114,102,55,1726,2605319.3333333335,969959,209.79,0.015918992712392298
2010-04-01,78,0.17366666666666666,127,80,2045,2603556.3333333335,973057.3333333334,217.66,0.01231459256159223
2010-07-01,79,0.203,103,65,1825,2606529.6666666665,978025.6666666666,223.02,0.015146167367490554
2010-10-01,80,0.232,96,54,1247,2615818.6666666665,982440.6666666666,236.59,0.01943311166797098
2011-01-01,81,0.26433333333333336,87,58,1655,2625117,984820.3333333334,240.76,0.017838163827341238
2011-04-01,82,0.31966666666666665,80,45,769,2633031.6666666665,989470,246.12,0.0156306022024361
2011-07-01,83,0.38566666666666666,81,50,917,2639009.6666666665,995077.3333333334,245.73,0.018099466230920087
2011-10-01,84,0.397,71,44,1799,2647075.3333333335,999078,252.27,0.008728299973391777
2012-01-01,85,0.4013333333333334,70,46,1342,2654473,1001134.6666666666,254.19,0.018466653309306212
2012-04-01,86,0.5003333333333333,83,54,1176,2660988.3333333335,1006009.6666666666,262.7,0.017323673942231003
2012-07-01,87,0.4073333333333333,76,57,1270,2665307,1012563.6666666666,268.28,0.019564005943328387
2012-10-01,88,0.38733333333333336,78,54,1812,2670821,1016566,269.15,0.020561118212309788
2013-01-01,89,0.387,78,36,620,2676310.6666666665,1017905,284.55,0.025196163520391564
2013-04-01,90,0.386,88,56,1722,2680300.3333333335,1020353,292.94,0.02258067836317365
2013-07-01,91,0.386,85,66,2068,2681991,1023931.3333333334,294.89,0.021175262306331988
2013-10-01,92,0.38666666666666666,60,38,1178,2684640.6666666665,1026396.3333333334,304.85,0.020334482755933657
2014-01-01,93,0.38733333333333336,54,33,627,2689233,1027408.6666666666,298.5,0.015154901383464238
2014-04-01,94,0.38733333333333336,81,60,3313,2692380.3333333335,1030263.6666666666,310.2,0.014161750796692492
2014-07-01,95,0.38666666666666666,70,40,886,2695227.6666666665,1034641.3333333334,297.45,0.013162920421182665
